university;user_id;user_name;number_tweets;friends_count;followers_count;created_at
uvalpochile;755599413775634432;caroandreatello;24;499;3;"Wed Jul 20 03:05:13 +0000 2016"
uvalpochile;781158763822772224;cpereirav;2;185;4;"Wed Sep 28 15:48:57 +0000 2016"
uvalpochile;2680560994;hildamiranda181;705;4000;247;"Sun Jul 06 20:31:38 +0000 2014"
uvalpochile;774066868185403392;EvedeRiffo;8650;1677;389;"Fri Sep 09 02:08:17 +0000 2016"
uvalpochile;1016746526444580864;mylovetitti;31624;1554;651;"Tue Jul 10 18:10:36 +0000 2018"
uvalpochile;1267149955984240642;catitisss_i;34;51;4;"Sun May 31 17:44:41 +0000 2020"
uvalpochile;27047622;palinandreat;19640;1044;831;"Fri Mar 27 17:09:54 +0000 2009"
uvalpochile;1377362770203709445;cabre_catherine;78;222;35;"Wed Mar 31 20:51:28 +0000 2021"
uvalpochile;389697881;Carola_Castro_A;37;240;88;"Wed Oct 12 21:16:13 +0000 2011"
uvalpochile;1378073550079336453;consuelotorresn;0;93;2;"Fri Apr 02 19:55:30 +0000 2021"
uvalpochile;1228051489823875072;NitorCarolina;18;84;1;"Thu Feb 13 20:21:19 +0000 2020"
uvalpochile;768547689621557248;ComarcaV;123;997;106;"Wed Aug 24 20:37:03 +0000 2016"
uvalpochile;853791229326262272;FranFDroguett;671;4957;2026;"Mon Apr 17 02:04:26 +0000 2017"
uvalpochile;107105663;nicolasravar;19930;1265;670;"Thu Jan 21 15:29:14 +0000 2010"
uvalpochile;103968008;periodistavalpo;1125;785;2444;"Mon Jan 11 21:00:05 +0000 2010"
uvalpochile;1185366563874050048;ChilePalita;971;46;25;"Sat Oct 19 01:26:48 +0000 2019"
uvalpochile;36671042;rulomoya;15;96;98;"Thu Apr 30 14:14:49 +0000 2009"
uvalpochile;1449732739;JofreNarda;3;222;4;"Wed May 22 19:23:56 +0000 2013"
uvalpochile;809409754300817408;floo_sr;5;68;9;"Thu Dec 15 14:48:18 +0000 2016"
uvalpochile;892194637494054913;johan2140;19;182;12;"Tue Aug 01 01:25:52 +0000 2017"
uvalpochile;200538432;klau_ale;853;4928;1387;"Sat Oct 09 15:24:40 +0000 2010"
uvalpochile;1235299429156114432;BartolodelPoni;68573;10162;11215;"Wed Mar 04 20:21:57 +0000 2020"
uvalpochile;1376651437443325953;Salvado48500583;0;33;0;"Mon Mar 29 21:44:23 +0000 2021"
uvalpochile;122133961;Barbaricoque;1468;313;279;"Thu Mar 11 18:11:34 +0000 2010"
uvalpochile;1376288929607999489;maru_saa;6;47;2;"Sun Mar 28 21:43:55 +0000 2021"
uvalpochile;1370088738836070406;lbicapacitacion;55;422;44;"Thu Mar 11 19:07:26 +0000 2021"
uvalpochile;574496785;troncosoaqua;750;463;298;"Tue May 08 13:54:45 +0000 2012"
uvalpochile;223318431;Valepsicologa;5;117;17;"Mon Dec 06 01:39:15 +0000 2010"
uvalpochile;2653203284;calaivictoria;113;220;129;"Thu Jul 17 08:19:14 +0000 2014"
uvalpochile;2722281214;super_pepi;6482;144;69;"Wed Jul 23 23:59:01 +0000 2014"
uvalpochile;751206691576901635;camiticats;322;247;141;"Fri Jul 08 00:10:06 +0000 2016"
uvalpochile;1345894163213123584;CorazonVerdede;18;168;40;"Mon Jan 04 00:46:08 +0000 2021"
uvalpochile;15717384;lorenapaz;497;3227;891;"Mon Aug 04 02:42:45 +0000 2008"
uvalpochile;1187378409992839169;volacosmicaa;6;45;3;"Thu Oct 24 14:40:59 +0000 2019"
uvalpochile;180583044;Vero_E_P;79;390;3;"Fri Aug 20 00:12:57 +0000 2010"
uvalpochile;1221142811753488390;Masingenieria1;36;110;7;"Sat Jan 25 18:49:53 +0000 2020"
uvalpochile;1212439817704722432;NegroLinea;5974;1042;278;"Wed Jan 01 18:26:01 +0000 2020"
uvalpochile;928975798241038336;AndyGue84437569;65;426;2;"Fri Nov 10 13:21:04 +0000 2017"
uvalpochile;950768772;_aromanq;16866;930;318;"Fri Nov 16 01:34:50 +0000 2012"
uvalpochile;1336462960940740611;SquellaAgustin;392;663;9502;"Wed Dec 09 00:09:50 +0000 2020"
uvalpochile;96483086;PROF_ERICK;32;120;10;"Sun Dec 13 04:20:23 +0000 2009"
uvalpochile;730103189500997634;Pbarriao;1701;213;149;"Tue May 10 18:32:19 +0000 2016"
uvalpochile;72449506;Jorge_13;2159;621;492;"Tue Sep 08 02:26:19 +0000 2009"
uvalpochile;141273935;clau_chavez;899;600;101;"Fri May 07 16:52:57 +0000 2010"
uvalpochile;1245879890873921536;paulita72059159;75;207;1;"Fri Apr 03 01:04:58 +0000 2020"
uvalpochile;1369501594895736833;Martina17714445;38;87;1;"Wed Mar 10 04:13:49 +0000 2021"
uvalpochile;765679639394131972;nyoosst;897;405;100;"Tue Aug 16 22:40:26 +0000 2016"
uvalpochile;32847974;ale_dj;8691;682;570;"Sat Apr 18 10:19:52 +0000 2009"
uvalpochile;82889511;ELAVponce;129;211;49;"Fri Oct 16 14:20:10 +0000 2009"
uvalpochile;940395518206849024;Omaldonado1980;144;376;16;"Tue Dec 12 01:38:58 +0000 2017"
uvalpochile;702597114078035972;Betomaxpro;1389;800;6;"Wed Feb 24 20:53:00 +0000 2016"
uvalpochile;244786770;peyukon;536;1433;110;"Sun Jan 30 04:01:56 +0000 2011"
uvalpochile;101610033;eltifonchileno;291;868;162;"Mon Jan 04 00:19:29 +0000 2010"
uvalpochile;1136686164394631169;JuanMenares4;44576;3078;1833;"Thu Jun 06 17:27:54 +0000 2019"
uvalpochile;1373062774293663748;krasstobal;102;164;22;"Sat Mar 20 00:04:21 +0000 2021"
uvalpochile;3707333243;morennapalida;1830;653;70;"Sat Sep 19 13:12:10 +0000 2015"
uvalpochile;1434523261;palma_profe;119;1993;253;"Fri May 17 02:19:52 +0000 2013"
uvalpochile;1373044528387612681;PalosPoliticos;10;1315;288;"Fri Mar 19 22:52:04 +0000 2021"
uvalpochile;1222252316222509062;AlexisMoralesZ2;10;4660;233;"Tue Jan 28 20:17:54 +0000 2020"
uvalpochile;1229103848553406465;totofreecs;1;11;2;"Sun Feb 16 18:02:55 +0000 2020"
uvalpochile;750699783136899072;DiplomaLitUCH;372;1660;715;"Wed Jul 06 14:35:50 +0000 2016"
uvalpochile;1245479633820299264;MijailJbp;0;535;1;"Wed Apr 01 22:34:26 +0000 2020"
uvalpochile;1131608913072316416;MariaKarenPy;723;838;59;"Thu May 23 17:12:43 +0000 2019"
uvalpochile;40747798;makarios_farias;3336;654;268;"Sun May 17 22:08:48 +0000 2009"
uvalpochile;1202209255350255616;DiegoB0L;569;4599;74;"Wed Dec 04 12:53:38 +0000 2019"
uvalpochile;58334111;mriost;44243;2798;19123;"Mon Jul 20 00:17:52 +0000 2009"
uvalpochile;1268540735961382914;joaquinlatorr15;12;139;11;"Thu Jun 04 13:51:06 +0000 2020"
uvalpochile;3014546189;CE2JIM;5465;1354;191;"Tue Feb 03 14:30:23 +0000 2015"
