university;user_id;user_name;number_tweets;friends_count;followers_count;created_at
uvalpochile;264911463;PassiJP;28;363;75;"Sat Mar 12 17:23:26 +0000 2011"
uvalpochile;100115910;Rolocaturro;2866;1542;315;"Tue Dec 29 02:58:08 +0000 2009"
uvalpochile;1858438254;jvasquezmacaya;804;644;75;"Thu Sep 12 20:26:01 +0000 2013"
uvalpochile;1324096811854897153;dicosmo_rodrigo;15473;1383;442;"Wed Nov 04 21:11:12 +0000 2020"
uvalpochile;1354678774915334147;AleAlvarezIND;25;183;65;"Thu Jan 28 06:32:58 +0000 2021"
uvalpochile;797219730495074304;brizanic;11509;384;29;"Fri Nov 11 23:29:30 +0000 2016"
uvalpochile;2271827198;caxisomo;99;120;63;"Wed Jan 01 16:24:34 +0000 2014"
uvalpochile;1379626932363481088;Mandreslopezb;8;382;23;"Wed Apr 07 02:47:55 +0000 2021"
uvalpochile;1098699942;lobomatu26;2757;241;30;"Thu Jan 17 16:59:40 +0000 2013"
uvalpochile;57998707;316Aecr;26355;1109;508;"Sat Jul 18 18:36:14 +0000 2009"
uvalpochile;1313886484462620672;LetiziaJuzsanz;0;80;13;"Wed Oct 07 16:59:11 +0000 2020"
uvalpochile;1284291908878073856;Adri_Moreno17;492;623;78;"Sat Jul 18 01:00:53 +0000 2020"
uvalpochile;1381585610331336707;JuanRam38609348;0;184;1;"Mon Apr 12 12:31:30 +0000 2021"
uvalpochile;502427999;RicxrdoTrujillo;930;1116;573;"Sat Feb 25 03:28:48 +0000 2012"
uvalpochile;1382093455560695815;cbzs78;0;44;1;"Tue Apr 13 22:09:03 +0000 2021"
uvalpochile;26286562;DavidMunozE;18099;2236;1528;"Tue Mar 24 18:05:15 +0000 2009"
uvalpochile;1107438135200436224;isibustosg;11;52;1;"Mon Mar 18 00:26:41 +0000 2019"
uvalpochile;1046518715364384770;nicoo_perez27;9;137;2;"Sun Sep 30 21:54:39 +0000 2018"
uvalpochile;1929717276;Mediclinics_Esp;244;5001;793;"Thu Oct 03 07:21:52 +0000 2013"
uvalpochile;1358071086;Paolybruna;1;994;32;"Tue Apr 16 23:21:46 +0000 2013"
uvalpochile;1170471631396966403;winnie20190906;2847;289;116;"Sat Sep 07 23:00:34 +0000 2019"
uvalpochile;3043493523;_I_R_A_T_Z_E_;46;199;56;"Tue Feb 17 20:14:37 +0000 2015"
uvalpochile;814926593982222336;Antonella10292;160;177;12;"Fri Dec 30 20:10:15 +0000 2016"
uvalpochile;1381405059506966531;WalterAsto4;0;156;6;"Mon Apr 12 00:33:57 +0000 2021"
uvalpochile;2147878273;79Cramirez;11;288;45;"Mon Oct 21 21:41:16 +0000 2013"
uvalpochile;1380757488472055809;German79769616;1;3;0;"Sat Apr 10 05:40:23 +0000 2021"
uvalpochile;1181472982658535424;vikingoalexito;1571;1681;170;"Tue Oct 08 07:34:57 +0000 2019"
uvalpochile;46068438;andres_barahona;116210;5198;4986;"Wed Jun 10 08:35:35 +0000 2009"
uvalpochile;746523265615732736;jersson813;390;241;50;"Sat Jun 25 01:59:51 +0000 2016"
uvalpochile;1371355580468707328;ulecoecr;94;1716;236;"Mon Mar 15 07:00:34 +0000 2021"
uvalpochile;432288952;pablobasualto;64;429;70;"Fri Dec 09 07:27:22 +0000 2011"
uvalpochile;140859008;dominga_black;3443;3077;561;"Thu May 06 14:59:14 +0000 2010"
uvalpochile;1289717991714807809;extension_oypuv;28;13;15;"Sun Aug 02 00:22:42 +0000 2020"
uvalpochile;31202161;ecomaputravel;23365;585;4845;"Tue Apr 14 19:27:04 +0000 2009"
uvalpochile;1379820208706179079;miguele27528274;19;163;81;"Wed Apr 07 15:35:59 +0000 2021"
uvalpochile;1372241460964253701;nodociv_val;103;292;134;"Wed Mar 17 17:40:47 +0000 2021"
uvalpochile;1076288202275733504;luisurra6;22;67;0;"Sat Dec 22 01:27:58 +0000 2018"
uvalpochile;48372002;jorgemarino;23;341;34;"Thu Jun 18 14:51:17 +0000 2009"
uvalpochile;1262754500;fdoguzmanm;14;1148;76;"Tue Mar 12 19:55:33 +0000 2013"
uvalpochile;737065395941724160;Luchito_Milla;207;426;45;"Sun May 29 23:37:39 +0000 2016"
uvalpochile;876222909211168771;tassenior;112952;3384;2571;"Sat Jun 17 23:39:55 +0000 2017"
uvalpochile;1368737857641324545;cocinerianacio1;31;700;139;"Mon Mar 08 01:38:48 +0000 2021"
uvalpochile;1196845307595821057;SBPV1988;1061;1749;184;"Tue Nov 19 17:39:04 +0000 2019"
uvalpochile;1379276606452203525;OllaPlaceres;389;3916;881;"Tue Apr 06 03:35:58 +0000 2021"
uvalpochile;1283475688679518208;moraleskarla9;38;29;12;"Wed Jul 15 18:57:12 +0000 2020"
uvalpochile;1330977481889820675;mbarraza_2021;504;317;299;"Mon Nov 23 20:52:42 +0000 2020"
uvalpochile;224332521;eduardojvv;9679;1408;2158;"Wed Dec 08 18:45:00 +0000 2010"
